SRR13825328	SRR6324886	SRR9118109
16S_14609cc07b76	3502	128	118
16S_1126da744d7d	149801	24	258
23S_2702c71383ad	28	8	1369
23S_1679e01e886e	962	2122	171869
23S_17075f8b1ab5	236	0	236
23S_18502ba92837	3	0	0
23S_16555c0c0cb1	2031	0	2650
23S_16175f31b0c7	750	2	941
23S_202126f7dfa7	703	0	670
23S_2547be3c66a6	4637	1486	433961
23S_245605c208a6	60	0	6
16S_1372e37e25b3	543	0	0
23S_292911ef8d64	49	0	679
23S_2851c2293d60	2	0	0
23S_2390aae73266	11	0	4
16S_121169afcaa1	1	0	0
16S_1460448d85a7	13	0	17
16S_11536ead715f	7408	2393	194642
23S_2064c5cca05e	14734	46	1852
23S_2028a55e42c4	33	2	0
23S_2000c5d1cc13	746	0	13379
23S_257960efc3e1	23	0	0
23S_2114b9cf299c	1	0	10
16S_107613cce943	6	0	702
16S_2485bda7c4fc	12	0	1387
23S_15379b89069b	48	9	0
23S_125775a3941f	19	0	19
16S_20052dd056d6	1177	0	121
23S_16279c06b672	2217	15	1165
23S_15029976f309	25	0	92
16S_2301e9ec804a	8717	77	2194
16S_15700fe23a38	1487	4	632
16S_12822f6fc907	211	1693	146536
23S_1460dff38f8a	106798	0	38150
16S_181208d4e7d7	76670	0	635
23S_27250394cb5c	8	0	0
16S_2198791dfbf7	19618	47	10379
23S_1962dc5e71ab	41854	7	24
23S_2396271ebce7	14546	2	5599
16S_251840b7d1ff	27	0	0
23S_245798a048c0	2	1	1
23S_28682dc329f6	5	0	4
16S_2862e29b5421	110012	11	839
23S_279387153c96	15	0	3754
23S_139932bba0b7	16	0	1
23S_1638f3f0f0d0	5	0	1821
16S_10093df0a669	421	1	56
23S_2154bce83e79	3	0	0
23S_113938ccc319	59	0	0
23S_25773d52b91c	6	0	119
23S_1234dced321a	410	0	997
23S_1903cdf8ea99	5	0	1821
23S_1459f0c0a98d	1420	2802	214187
23S_2494725aeed1	96	0	67
23S_2807d4a66c92	6	0	0
16S_1739658c3af3	26	0	17
23S_1567168f60ab	90	0	0
23S_1967af822866	1	1589	236318
23S_202853b1d7fc	141	0	281
23S_1907fb3281e2	36	0	0
23S_162687dcb4f1	16	297	1
23S_22865b504715	1843	21	2530
23S_172984cd48b4	5	0	20
23S_11784706a81d	14	0	703
23S_1166d7d08b39	71	0	0
23S_2086ca5724c5	113	0	3
23S_23305b05f904	104	0	3303
23S_144847a6e5e2	4930	938	132545
23S_290101d49ead	42	0	4
16S_102586f393e5	17	0	272
23S_1679271cbf21	26	0	18907
23S_1186c2437b76	57429	29	1570
23S_2994c606b7b1	1	4	2
23S_2609f55599c5	110	2304	291782
23S_179645660df0	33	0	2
23S_19489a018648	56241	0	11
23S_10275b3ebbdd	391	426	13
23S_1097e9a4d79b	1	0	1478
16S_26678e49e3de	21	0	3
16S_168776363b3c	3	0	343
23S_267835a16728	43	0	6761
23S_22510eebdc7d	44	3815	674104
16S_2225a2ae24b8	2596	0	451
23S_20827699a13d	776	0	39
23S_228471811179	1	0	0
23S_1099d6409dae	30	0	1047
16S_243400c0b98c	378	1	185
16S_12602bfe5693	2	0	0
23S_14786a77b98a	30	0	31
23S_2386c1e4425e	386	25	477
23S_12128429fd00	37	10	0
16S_20994c0a7086	296	0	41
16S_1144fc6109ae	1903	0	2
23S_1205d4018f14	9080	6	17
23S_10219d4bd726	115	2	3
23S_1681aaa3c518	98	0	10312
23S_2981e1392e2e	42475	0	60
23S_2649d4e95c82	821	0	7
16S_2791063c8883	1	0	0
23S_2284f1c30782	1	0	4
23S_2877ad21c624	18221	10	3903
23S_1101eee3be05	154	898	124251
23S_1294dc4c7273	1	0	2362
16S_2064951870b5	2	0	1057
23S_2490d21c8cb4	33	0	2
23S_29758ed9c968	8848	0	26
16S_2691e8d458b0	96	30	1779
23S_2730b9ef41d6	193	15	1128
16S_28753ea59cfd	3	0	2
23S_1152bf4b1b87	8	3	12
23S_205194476db1	170	9	11
16S_2264f065b1e9	14	0	0
16S_1491faa28a08	1	0	0
16S_2668a9b16272	1823	13	107
23S_19519431cc0e	56241	0	11
23S_1977731803a8	1	0	1403
16S_274681227236	26258	11	934
23S_2682a50de0ae	37	0	4506
23S_207285349e55	1	7	2
16S_168757d19937	6153	7	165
16S_264472452c18	42329	0	329
23S_27603eb70941	45461	2780	280697
23S_197208f36bbf	105	2387	208576
23S_19406102d84c	113	0	12
23S_2927bcb5d027	2844	0	40
23S_2903c41ff1eb	450	498	13
16S_2911f06c3f09	2679	1	21
23S_2513afaeabdb	35	4	1637
23S_19076bc5e744	30	18	55
16S_12858b84790a	42	0	4
23S_2208543bf3fb	38579	0	67
16S_28074be0c2fe	166	0	30
23S_13811cf905bc	1691	0	123
16S_1499e8173a85	1	0	1696
23S_166953fffca9	127	0	700
16S_221631beb815	45714	0	2046
23S_1457aed995a4	36	0	1021
23S_2371e0f96d7d	277	0	3
23S_17493de90f2f	35	1927	163177
23S_16062b1a21b4	1474	0	9
23S_13827902f33c	38	0	6743
16S_15122ad7f492	113	0	164
23S_21815a0b56ee	3	0	10
16S_2776d6dddf84	8	0	2
23S_2676561ed88f	341	0	9632
16S_2605421e2802	15198	4	879
16S_27255dca3bb3	261	0	0
16S_1049d540abba	51	0	2282
23S_26220800b911	1454	0	0
23S_141191f0ca18	3	0	0
23S_1999b7d84732	268	0	1278
16S_2999c41957b3	1	0	20
16S_25900eee02a4	575029	3401	236814
23S_273423ef290a	3	0	0
23S_2285489005ea	13	0	75
23S_18338aaa3258	1	0	0
23S_2751c8e13f95	19	0	761
16S_2673ac608f04	16	0	4
23S_2804699f939f	564	0	6307
16S_15139968961c	137	2996	185003
23S_2002dde87cad	1	0	0
23S_1282608f7893	4	0	18
23S_1389734cd2fd	300	0	0
23S_12304cc95b24	65	0	212
16S_23558d61dad8	6	0	701
23S_1952d8d6242f	4	0	0
23S_12266f5e4fe7	51	21	694
16S_2743648cbc7f	1	0	0
16S_24460bec34a6	23	0	0
5S_1852af73bb63	3	0	0
16S_179230007e5a	776	0	1342
23S_24072ba4ad44	4	1	2
16S_15531c7bd8c5	12	0	0
23S_1702daac4133	38	0	0
16S_21604ef411c2	127	0	0
23S_18799354435c	8	0	395
23S_2481af8aaefa	2	0	0
23S_21619ccce4aa	50302	0	34
16S_1692a3efad1f	336928	676	45108
23S_1661ad24410c	373	0	722
23S_2253102b6c43	83	0	13
23S_2376cbb0a101	36	0	0
16S_2978dddb1f5a	2776	27	248
16S_18779e9f219c	9	20	1
23S_2882eb73a24b	260	5	585
16S_1345ade3f7a8	357107	52	2268
5S_123366b028b0	2	0	19
23S_2912e234267c	2	0	3221
23S_2167578d434b	27266	0	103
23S_2499d4628319	160	0	985
23S_2243aee5da1a	1	0	0
23S_2937f5a3ec3c	34	1921	162468
23S_243648554108	3	0	0
16S_1727225bfc8e	49	0	76
23S_2159ef7dd498	34927	16	2479
16S_1944d195519e	25	10	380
23S_27075177017d	77	2	3
23S_2014af5daaa8	414995	3727	278778
5S_2608a3d6fc06	2	0	0
23S_194632c8fe2f	113	0	2
23S_2253849287c6	3	0	0
16S_2894f33a7e37	79	59	808
23S_25594f56a281	4	0	1
23S_1627bad672eb	26	0	0
16S_2623941931de	1	0	0
23S_12980e307071	2	0	2764
23S_197811686309	116	0	46941
23S_249991e747fc	93	0	1653
16S_253405c9f576	113	30	2220
16S_262023bc7105	226790	323	2609
23S_212164a3909c	4	0	1153
16S_15841c743ac7	19	0	2659
16S_2743db52b7e1	179	2047	126047
23S_288498b2ef3a	46	22	2715
23S_139509477010	35857	0	139
16S_249198364546	8	0	9
23S_274998a88bff	18	4	469
23S_29303e79022d	3	0	2
23S_2669798b1446	10	0	146
16S_18094a2f62ec	1918	0	6
23S_1215fa3f99b2	3	0	0
23S_235891b4c004	767	2	888
23S_1266e69d9b8e	5	598	0
23S_1897b7d179b5	5	2057	190731
16S_244884e26acf	50	0	0
16S_1070514e83ce	10	0	150
23S_20350cb5b933	31912	18	16295
23S_25373ea976eb	96	0	67
16S_17054743a5a9	42	0	74
23S_1425a274e0fa	1363	0	301
23S_22914fde3a65	3	0	988
16S_245801013c9b	8	0	1
23S_28682c6ebbfb	2602	0	4189
16S_2143385c320e	29162	0	1443
16S_22811ec53245	1	0	2
